Account,Token Account,Quantity,Percentage
6JjsGgjdP9WQthV4SfuVnS5KtP6Tqhr7mPDdr1DaobLv,2VACxESGNDuEkJmtf18zLD948jDkgcTXH5sScUzv5wHE,1156114.262363055,0.12
A5aRPchFqPpj4BP1AUykbwKvs2cSwJojKSYTNEPEcqnp,FDYr37VfcVjAPUfJC3kayKkfPQCboKtw8jc3NAB2j6kZ,1120539.629786039,0.11
EpjwF8tC9nu9aaex512njW1k7UuzGQrHv3WNzzCSxSda,2oG8zf1Zk4P4beuxKrxpcJqeHyqL3Qwd2vYLTrkTjLzC,1115742.536416634,0.11
B2erpBWhByBFCusPz4qP84wJ9BN1gnjtCMqtG7LbsEzo,Gfd8q2PmmGX4i362rq5Uvx2gWT13rK7AHEqiGX3Pyedx,1114862.79001207,0.11
5HgwT6nhTDxA5LCgEDCTfBt5n81CyaX897hVnoT1g131,C3BDwdCi8A8Zq51sYC4VFjAWH9zgzcu1ZMoD68vDrQro,1095252.529964938,0.11
BEwzKXC4zAsL5ww6aqZFBYacAU6P2S3vrzetAhETYZUk,92qdQYprRw599xbdvmXqoqbWsDZ2puRqLbFbyQNRCzT,1093509.484817889,0.11
AJhWso6tGuWfCAH3FkdrHYZdzGQHKcfSAUArg83X4Aob,Gz2viPRcWxFMgYZkLLHBJxqzcUGfW9KZZ9YvZ9gVmiyq,1092584.231551812,0.11
GgAGtAfxogExKyeES9qNqbbkVUquczqGHb2Lf5wT8wxJ,Eo8rL52sGv2ecGA2JtbHWu3W4E6Nybbvt5LQL9tjJYQ9,1088987.959972412,0.11
3RQSYMdZYgfoZvZFqB93ddnHsgKVoUzWDMq97zAqDoHe,HMYjmiuZFUMQ89TiTdYGqxqU647aGAHRkTmn6dLN1nMx,1080143.503385683,0.11
9bZn9M1pW5cwAfo2W3P2wzQthazPfuU79kVvn9c19Kye,8e8bETnYYWo5ooCEuQD9vB67TEDxWr8TH6ncEX432UEM,1024174.294875319,0.10
AxXgWbodWrEX6hitEdWJziG24TsRydcZPhE1hEE4X9ER,C4kPNkv2HMtD5H96jDAp1iwyYEDEe4qwUP7vsX25EnVH,1016495.544607849,0.10
8f6MKPvGCoEhJq5utomkzqyYPofjBgFTaA1bJuy7qoWj,AYzhQJ67h9rwHp3xzpnXLp2cubBsEvj8HFcMsyuDCBvs,1012216.323377724,0.10
6eH9Pg3ij6Y2MnWbfxGi8bTSPRgX6hVEW9imM3pNYg17,9AhAvk79F5GNfw2Rh4Ey4qLVaiNJXitQg9jSA4Ph1ERP,1007354.869665853,0.10
3GUM6Dm7Yw33hg23GCnEEgammpTYv8Z3fh5694R7GkKn,GKcd3irXHsaDmwBYADSeNCTdsEVjVrLG7cECFhZ4rUAU,1004257.536894136,0.10
53NPTQzgus6Ayu1qEJFa1pom1ti5MRmTtyryncmSqXrB,GbpSGYt2SSvaxRWNNUdTDdVvjiqsqbAyDUXPzVjutYTC,1004032.509884351,0.10
4hwCPB57tQXomiAz82WnoJgVBFvdChjG7TaSZ2X1vdF5,GuNo97F5JQ2xRPxfN1SPcdtqnkejmzVPmhA4gCPxuZBA,1003009.993483512,0.10
6vspHVgqphzKCyxWzVVr3UnxwV4PJULF7QDj3J2pZ9Zn,EVqiTop9kGTJpUhTMSMjy1i54gTBJPHW21hsG8LQV7Nk,1000432.350295737,0.10
